Story,Level,Context,Rating
podcast,4,1,6.0
podcast,4,2,6.0
podcast,4,3,6.0
podcast,4,1,6.0
podcast,4,2,6.0
podcast,4,3,2.0
podcast,4,1,5.0
podcast,4,2,6.0
podcast,4,3,6.0
podcast,4,1,2.0
podcast,4,2,5.0
podcast,4,3,4.0
podcast,4,1,7.0
podcast,4,2,6.0
podcast,4,3,7.0
podcast,4,1,7.0
podcast,4,2,7.0
podcast,4,3,2.0
podcast,4,1,4.0
podcast,4,2,4.0
podcast,4,3,4.0
podcast,5,1,7.0
podcast,5,2,7.0
podcast,5,3,3.0
podcast,5,1,7.0
podcast,5,2,7.0
podcast,5,3,7.0
podcast,5,1,7.0
podcast,5,2,7.0
podcast,5,3,7.0
podcast,5,1,7.0
podcast,5,2,7.0
podcast,5,3,7.0
podcast,5,1,4.0
podcast,5,2,5.0
podcast,5,3,5.0
podcast,5,1,6.0
podcast,5,2,6.0
podcast,5,3,1.0
podcast,5,1,7.0
podcast,5,2,7.0
podcast,5,3,6.0
podcast,5,1,1.0
podcast,5,2,7.0
podcast,5,3,1.0
podcast,5,1,7.0
podcast,5,2,7.0
podcast,5,3,2.0
podcast,5,1,6.0
podcast,5,2,6.0
podcast,5,3,6.0
podcast,5,1,6.0
podcast,5,2,6.0
podcast,5,3,1.0
podcast,5,1,5.0
podcast,5,2,6.0
podcast,5,3,6.0
podcast,5,1,5.0
podcast,5,2,3.0
podcast,5,3,4.0
podcast,5,1,7.0
podcast,5,2,4.0
podcast,5,3,7.0
podcast,5,1,7.0
podcast,5,2,7.0
podcast,5,3,1.0
podcast,5,1,4.0
podcast,5,2,4.0
podcast,5,3,4.0
