,type,name,label,value,showif,block_order,item_order,class,choice1,choice2
83,note,movieL5QR0,"<h4>A movie has been playing for <b>100 minutes</b>. 
 <h5>On the following scale, how likely do you think it would be to now see 10 people...</h5></h4>",,,B,,,,
84,"rating_button 1,7,1",movieL5C1R0,exit the movie's showroom.,,jsonlite::fromJSON(calculate_movie)[1] == 1,B,,,Not at all,Very
85,"rating_button 1,7,1",movieL5C2R0,exit the showroom of a movie next-door.,,jsonlite::fromJSON(calculate_movie)[1] == 2,B,,,Not at all,Very
86,note,hrmovie20,<hr>,,,B,,,,
87,note,movieL5QR1,"<h4>A movie has been playing for <b>100 minutes</b>. 
 <h5>On the following scale, how likely do you think it would be to now see 10 people...</h5></h4>",,,B,,,,
88,"rating_button 1,7,1",movieL5C1R1,exit the movie's showroom.,,jsonlite::fromJSON(calculate_movie)[2] == 1,B,,,Not at all,Very
89,"rating_button 1,7,1",movieL5C2R1,exit the showroom of a movie next-door.,,jsonlite::fromJSON(calculate_movie)[2] == 2,B,,,Not at all,Very
90,note,hrmovie21,<hr>,,,B,,,,
91,submit,continue9,Continue,,,B,,,,
92,calculate,calculate_podcast,,"randOrder <- c()
numContext <- 2
context <- c(1:2)
randOrder <- sample(context)
jsonlite::toJSON(randOrder)",,C,,,,
93,note,podcastL1QR0,"<h4>Someone has been listening to a podcast for <b>15 minutes</b>. 
 <h5>On the following scale, how likely do you think it would be to now hear...</h5></h4>",,,C,,,,
94,"rating_button 1,7,1",podcastL1C1R0,"the podcast host say ""Welp, that's all we planned to discuss this week!""",,jsonlite::fromJSON(calculate_podcast)[1] == 1,C,,,Not at all,Very
95,"rating_button 1,7,1",podcastL1C2R0,"someone nearby says ""Hey, I like that podcast too. Cool.""",,jsonlite::fromJSON(calculate_podcast)[1] == 2,C,,,Not at all,Very
96,note,hrpodcast23,<hr>,,,C,,,,
97,note,podcastL1QR1,"<h4>Someone has been listening to a podcast for <b>15 minutes</b>. 
 <h5>On the following scale, how likely do you think it would be to now hear...</h5></h4>",,,C,,,,
98,"rating_button 1,7,1",podcastL1C1R1,"the podcast host say ""Welp, that's all we planned to discuss this week!""",,jsonlite::fromJSON(calculate_podcast)[2] == 1,C,,,Not at all,Very
99,"rating_button 1,7,1",podcastL1C2R1,"someone nearby says ""Hey, I like that podcast too. Cool.""",,jsonlite::fromJSON(calculate_podcast)[2] == 2,C,,,Not at all,Very
100,note,hrpodcast24,<hr>,,,C,,,,
101,submit,continue10,Continue,,,C,,,,
102,note,podcastL2QR0,"<h4>Someone has been listening to a podcast for <b>30 minutes</b>. 
 <h5>On the following scale, how likely do you think it would be to now hear...</h5></h4>",,,C,,,,
103,"rating_button 1,7,1",podcastL2C1R0,"the podcast host say ""Welp, that's all we planned to discuss this week!""",,jsonlite::fromJSON(calculate_podcast)[1] == 1,C,,,Not at all,Very
104,"rating_button 1,7,1",podcastL2C2R0,"someone nearby says ""Hey, I like that podcast too. Cool.""",,jsonlite::fromJSON(calculate_podcast)[1] == 2,C,,,Not at all,Very
105,note,hrpodcast25,<hr>,,,C,,,,
106,note,podcastL2QR1,"<h4>Someone has been listening to a podcast for <b>30 minutes</b>. 
 <h5>On the following scale, how likely do you think it would be to now hear...</h5></h4>",,,C,,,,
107,"rating_button 1,7,1",podcastL2C1R1,"the podcast host say ""Welp, that's all we planned to discuss this week!""",,jsonlite::fromJSON(calculate_podcast)[2] == 1,C,,,Not at all,Very
108,"rating_button 1,7,1",podcastL2C2R1,"someone nearby says ""Hey, I like that podcast too. Cool.""",,jsonlite::fromJSON(calculate_podcast)[2] == 2,C,,,Not at all,Very
109,note,hrpodcast26,<hr>,,,C,,,,
110,submit,continue11,Continue,,,C,,,,
111,note,podcastL3QR0,"<h4>Someone has been listening to a podcast for <b>55 minutes</b>. 
 <h5>On the following scale, how likely do you think it would be to now hear...</h5></h4>",,,C,,,,
112,"rating_button 1,7,1",podcastL3C1R0,"the podcast host say ""Welp, that's all we planned to discuss this week!""",,jsonlite::fromJSON(calculate_podcast)[1] == 1,C,,,Not at all,Very
113,"rating_button 1,7,1",podcastL3C2R0,"someone nearby says ""Hey, I like that podcast too. Cool.""",,jsonlite::fromJSON(calculate_podcast)[1] == 2,C,,,Not at all,Very
114,note,hrpodcast27,<hr>,,,C,,,,
115,note,podcastL3QR1,"<h4>Someone has been listening to a podcast for <b>55 minutes</b>. 
 <h5>On the following scale, how likely do you think it would be to now hear...</h5></h4>",,,C,,,,
116,"rating_button 1,7,1",podcastL3C1R1,"the podcast host say ""Welp, that's all we planned to discuss this week!""",,jsonlite::fromJSON(calculate_podcast)[2] == 1,C,,,Not at all,Very
117,"rating_button 1,7,1",podcastL3C2R1,"someone nearby says ""Hey, I like that podcast too. Cool.""",,jsonlite::fromJSON(calculate_podcast)[2] == 2,C,,,Not at all,Very
118,note,hrpodcast28,<hr>,,,C,,,,
119,submit,continue12,Continue,,,C,,,,
120,note,podcastL4QR0,"<h4>Someone has been listening to a podcast for <b>75 minutes</b>. 
 <h5>On the following scale, how likely do you think it would be to now hear...</h5></h4>",,,C,,,,
121,"rating_button 1,7,1",podcastL4C1R0,"the podcast host say ""Welp, that's all we planned to discuss this week!""",,jsonlite::fromJSON(calculate_podcast)[1] == 1,C,,,Not at all,Very
122,"rating_button 1,7,1",podcastL4C2R0,"someone nearby says ""Hey, I like that podcast too. Cool.""",,jsonlite::fromJSON(calculate_podcast)[1] == 2,C,,,Not at all,Very
123,note,hrpodcast29,<hr>,,,C,,,,
124,note,podcastL4QR1,"<h4>Someone has been listening to a podcast for <b>75 minutes</b>. 
 <h5>On the following scale, how likely do you think it would be to now hear...</h5></h4>",,,C,,,,
125,"rating_button 1,7,1",podcastL4C1R1,"the podcast host say ""Welp, that's all we planned to discuss this week!""",,jsonlite::fromJSON(calculate_podcast)[2] == 1,C,,,Not at all,Very
126,"rating_button 1,7,1",podcastL4C2R1,"someone nearby says ""Hey, I like that podcast too. Cool.""",,jsonlite::fromJSON(calculate_podcast)[2] == 2,C,,,Not at all,Very
127,note,hrpodcast30,<hr>,,,C,,,,
128,submit,continue13,Continue,,,C,,,,
129,note,podcastL5QR0,"<h4>Someone has been listening to a podcast for <b>105 minutes</b>. 
 <h5>On the following scale, how likely do you think it would be to now hear...</h5></h4>",,,C,,,,
130,"rating_button 1,7,1",podcastL5C1R0,"the podcast host say ""Welp, that's all we planned to discuss this week!""",,jsonlite::fromJSON(calculate_podcast)[1] == 1,C,,,Not at all,Very
131,"rating_button 1,7,1",podcastL5C2R0,"someone nearby says ""Hey, I like that podcast too. Cool.""",,jsonlite::fromJSON(calculate_podcast)[1] == 2,C,,,Not at all,Very
132,note,hrpodcast31,<hr>,,,C,,,,
133,note,podcastL5QR1,"<h4>Someone has been listening to a podcast for <b>105 minutes</b>. 
 <h5>On the following scale, how likely do you think it would be to now hear...</h5></h4>",,,C,,,,
134,"rating_button 1,7,1",podcastL5C1R1,"the podcast host say ""Welp, that's all we planned to discuss this week!""",,jsonlite::fromJSON(calculate_podcast)[2] == 1,C,,,Not at all,Very
135,"rating_button 1,7,1",podcastL5C2R1,"someone nearby says ""Hey, I like that podcast too. Cool.""",,jsonlite::fromJSON(calculate_podcast)[2] == 2,C,,,Not at all,Very
136,note,hrpodcast32,<hr>,,,C,,,,
137,submit,continue14,Continue,,,C,,,,
