Subject,Story,Level,Context,Rating
9,cake,4,1,6.0
9,cake,4,2,6.0
10,cake,4,1,6.0
10,cake,4,2,6.0
11,cake,4,1,2.0
11,cake,4,2,4.0
12,cake,4,1,5.0
12,cake,4,2,4.0
13,cake,4,1,1.0
13,cake,4,2,1.0
14,cake,4,1,7.0
14,cake,4,2,5.0
15,cake,4,1,6.0
15,cake,4,2,6.0
0,cake,5,1,5.0
0,cake,5,2,5.0
1,cake,5,1,7.0
1,cake,5,2,7.0
2,cake,5,1,7.0
2,cake,5,2,7.0
3,cake,5,1,7.0
3,cake,5,2,3.0
4,cake,5,1,7.0
4,cake,5,2,7.0
5,cake,5,1,5.0
5,cake,5,2,5.0
6,cake,5,1,6.0
6,cake,5,2,6.0
7,cake,5,1,7.0
7,cake,5,2,1.0
8,cake,5,1,1.0
8,cake,5,2,2.0
9,cake,5,1,6.0
9,cake,5,2,6.0
10,cake,5,1,6.0
10,cake,5,2,6.0
11,cake,5,1,2.0
11,cake,5,2,3.0
12,cake,5,1,6.0
12,cake,5,2,4.0
13,cake,5,1,1.0
13,cake,5,2,1.0
14,cake,5,1,7.0
14,cake,5,2,5.0
15,cake,5,1,4.0
15,cake,5,2,1.0
0,movie,1,1,2.0
0,movie,1,2,1.0
1,movie,1,1,7.0
1,movie,1,2,5.0
2,movie,1,1,3.0
2,movie,1,2,3.0
3,movie,1,1,1.0
3,movie,1,2,1.0
4,movie,1,1,3.0
4,movie,1,2,3.0
5,movie,1,1,2.0
5,movie,1,2,3.0
6,movie,1,1,3.0
6,movie,1,2,3.0
7,movie,1,1,1.0
7,movie,1,2,1.0
8,movie,1,1,1.0
8,movie,1,2,4.0
9,movie,1,1,5.0
9,movie,1,2,5.0
10,movie,1,1,2.0
10,movie,1,2,1.0
11,movie,1,1,2.0
11,movie,1,2,2.0
12,movie,1,1,3.0
12,movie,1,2,3.0
13,movie,1,1,1.0
13,movie,1,2,1.0
14,movie,1,1,2.0
14,movie,1,2,1.0
15,movie,1,1,1.0
15,movie,1,2,1.0
0,movie,2,1,2.0
0,movie,2,2,1.0
1,movie,2,1,4.0
1,movie,2,2,3.0
2,movie,2,1,4.0
2,movie,2,2,4.0
3,movie,2,1,3.0
3,movie,2,2,2.0
4,movie,2,1,5.0
4,movie,2,2,5.0
5,movie,2,1,2.0
5,movie,2,2,5.0
6,movie,2,1,4.0
6,movie,2,2,4.0
7,movie,2,1,1.0
7,movie,2,2,1.0
8,movie,2,1,1.0
8,movie,2,2,4.0
9,movie,2,1,5.0
9,movie,2,2,5.0
10,movie,2,1,3.0
10,movie,2,2,2.0
11,movie,2,1,2.0
11,movie,2,2,2.0
12,movie,2,1,2.0
12,movie,2,2,2.0
13,movie,2,1,1.0
13,movie,2,2,7.0
14,movie,2,1,1.0
14,movie,2,2,1.0
15,movie,2,1,1.0
15,movie,2,2,1.0
0,movie,3,1,2.0
0,movie,3,2,1.0
1,movie,3,1,5.0
1,movie,3,2,3.0
2,movie,3,1,3.0
2,movie,3,2,3.0
3,movie,3,1,2.0
3,movie,3,2,2.0
4,movie,3,1,6.0
4,movie,3,2,6.0
5,movie,3,1,1.0
5,movie,3,2,5.0
6,movie,3,1,2.0
6,movie,3,2,2.0
7,movie,3,1,4.0
7,movie,3,2,4.0
8,movie,3,1,1.0
8,movie,3,2,3.0
9,movie,3,1,6.0
9,movie,3,2,6.0
10,movie,3,1,3.0
10,movie,3,2,2.0
11,movie,3,1,3.0
11,movie,3,2,1.0
12,movie,3,1,1.0
12,movie,3,2,1.0
13,movie,3,1,5.0
13,movie,3,2,7.0
14,movie,3,1,1.0
14,movie,3,2,1.0
15,movie,3,1,1.0
15,movie,3,2,1.0
0,movie,4,1,4.0
0,movie,4,2,1.0
1,movie,4,1,7.0
1,movie,4,2,7.0
2,movie,4,1,2.0
2,movie,4,2,2.0
3,movie,4,1,2.0
3,movie,4,2,2.0
4,movie,4,1,6.0
4,movie,4,2,6.0
5,movie,4,1,6.0
5,movie,4,2,6.0
6,movie,4,1,2.0
6,movie,4,2,2.0
7,movie,4,1,7.0
7,movie,4,2,7.0
8,movie,4,1,1.0
8,movie,4,2,3.0
9,movie,4,1,6.0
9,movie,4,2,6.0
10,movie,4,1,4.0
10,movie,4,2,4.0
11,movie,4,1,4.0
11,movie,4,2,1.0
12,movie,4,1,1.0
12,movie,4,2,1.0
13,movie,4,1,7.0
13,movie,4,2,7.0
14,movie,4,1,2.0
14,movie,4,2,2.0
15,movie,4,1,2.0
15,movie,4,2,2.0
0,movie,5,1,5.0
0,movie,5,2,1.0
1,movie,5,1,7.0
1,movie,5,2,7.0
2,movie,5,1,2.0
2,movie,5,2,2.0
3,movie,5,1,3.0
3,movie,5,2,3.0
4,movie,5,1,6.0
4,movie,5,2,6.0
5,movie,5,1,6.0
5,movie,5,2,6.0
6,movie,5,1,1.0
6,movie,5,2,1.0
7,movie,5,1,7.0
7,movie,5,2,7.0
8,movie,5,1,2.0
8,movie,5,2,2.0
9,movie,5,1,6.0
9,movie,5,2,6.0
10,movie,5,1,5.0
10,movie,5,2,5.0
11,movie,5,1,5.0
11,movie,5,2,1.0
12,movie,5,1,1.0
12,movie,5,2,1.0
13,movie,5,1,7.0
13,movie,5,2,7.0
14,movie,5,1,3.0
14,movie,5,2,3.0
15,movie,5,1,5.0
15,movie,5,2,5.0
0,podcast,1,1,2.0
0,podcast,1,2,2.0
1,podcast,1,1,1.0
1,podcast,1,2,1.0
2,podcast,1,1,1.0
2,podcast,1,2,3.0
3,podcast,1,1,2.0
3,podcast,1,2,1.0
4,podcast,1,1,2.0
4,podcast,1,2,5.0
5,podcast,1,1,2.0
5,podcast,1,2,1.0
6,podcast,1,1,4.0
6,podcast,1,2,2.0
7,podcast,1,1,7.0
7,podcast,1,2,1.0
8,podcast,1,1,2.0
8,podcast,1,2,3.0
9,podcast,1,1,5.0
9,podcast,1,2,5.0
10,podcast,1,1,1.0
10,podcast,1,2,4.0
11,podcast,1,1,2.0
11,podcast,1,2,2.0
12,podcast,1,1,3.0
12,podcast,1,2,2.0
13,podcast,1,1,2.0
13,podcast,1,2,7.0
14,podcast,1,1,2.0
14,podcast,1,2,2.0
15,podcast,1,1,4.0
15,podcast,1,2,4.0
0,podcast,2,1,3.0
0,podcast,2,2,3.0
1,podcast,2,1,2.0
1,podcast,2,2,4.0
2,podcast,2,1,5.0
2,podcast,2,2,5.0
3,podcast,2,1,7.0
3,podcast,2,2,7.0
4,podcast,2,1,5.0
4,podcast,2,2,5.0
5,podcast,2,1,3.0
5,podcast,2,2,3.0
6,podcast,2,1,4.0
6,podcast,2,2,4.0
7,podcast,2,1,7.0
7,podcast,2,2,7.0
8,podcast,2,1,3.0
8,podcast,2,2,4.0
9,podcast,2,1,5.0
9,podcast,2,2,5.0
10,podcast,2,1,4.0
10,podcast,2,2,5.0
11,podcast,2,1,2.0
11,podcast,2,2,3.0
12,podcast,2,1,3.0
12,podcast,2,2,3.0
13,podcast,2,1,3.0
13,podcast,2,2,7.0
14,podcast,2,1,4.0
14,podcast,2,2,5.0
15,podcast,2,1,4.0
15,podcast,2,2,4.0
0,podcast,3,1,5.0
0,podcast,3,2,5.0
1,podcast,3,1,7.0
1,podcast,3,2,6.0
2,podcast,3,1,7.0
2,podcast,3,2,6.0
3,podcast,3,1,7.0
3,podcast,3,2,7.0
4,podcast,3,1,6.0
4,podcast,3,2,6.0
5,podcast,3,1,5.0
5,podcast,3,2,5.0
6,podcast,3,1,4.0
6,podcast,3,2,4.0
7,podcast,3,1,4.0
7,podcast,3,2,7.0
8,podcast,3,1,5.0
8,podcast,3,2,6.0
9,podcast,3,1,6.0
9,podcast,3,2,6.0
10,podcast,3,1,5.0
10,podcast,3,2,6.0
11,podcast,3,1,3.0
11,podcast,3,2,6.0
12,podcast,3,1,2.0
12,podcast,3,2,5.0
13,podcast,3,1,7.0
13,podcast,3,2,7.0
14,podcast,3,1,6.0
14,podcast,3,2,6.0
15,podcast,3,1,4.0
15,podcast,3,2,4.0
0,podcast,4,1,7.0
0,podcast,4,2,7.0
1,podcast,4,1,7.0
1,podcast,4,2,7.0
2,podcast,4,1,7.0
2,podcast,4,2,6.0
3,podcast,4,1,7.0
3,podcast,4,2,7.0
4,podcast,4,1,4.0
4,podcast,4,2,5.0
5,podcast,4,1,6.0
5,podcast,4,2,6.0
6,podcast,4,1,6.0
6,podcast,4,2,7.0
7,podcast,4,1,1.0
7,podcast,4,2,7.0
8,podcast,4,1,7.0
8,podcast,4,2,7.0
9,podcast,4,1,6.0
9,podcast,4,2,6.0
10,podcast,4,1,6.0
10,podcast,4,2,6.0
11,podcast,4,1,5.0
11,podcast,4,2,6.0
12,podcast,4,1,2.0
12,podcast,4,2,5.0
13,podcast,4,1,7.0
13,podcast,4,2,6.0
14,podcast,4,1,7.0
14,podcast,4,2,7.0
15,podcast,4,1,4.0
15,podcast,4,2,4.0
0,podcast,5,1,7.0
0,podcast,5,2,7.0
1,podcast,5,1,7.0
1,podcast,5,2,7.0
2,podcast,5,1,7.0
2,podcast,5,2,7.0
3,podcast,5,1,7.0
3,podcast,5,2,7.0
4,podcast,5,1,4.0
4,podcast,5,2,5.0
5,podcast,5,1,6.0
5,podcast,5,2,6.0
6,podcast,5,1,7.0
6,podcast,5,2,7.0
7,podcast,5,1,1.0
7,podcast,5,2,7.0
8,podcast,5,1,7.0
8,podcast,5,2,7.0
9,podcast,5,1,6.0
9,podcast,5,2,6.0
10,podcast,5,1,6.0
10,podcast,5,2,6.0
11,podcast,5,1,5.0
11,podcast,5,2,6.0
12,podcast,5,1,5.0
12,podcast,5,2,3.0
13,podcast,5,1,7.0
13,podcast,5,2,4.0
14,podcast,5,1,7.0
14,podcast,5,2,7.0
15,podcast,5,1,4.0
15,podcast,5,2,4.0
